death_no,episode,killer,killers_house,location,method,name,season,count
427,10,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Beyond the Wall,Axe,Wildling,4,1
428,10,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Beyond the Wall,Spear,Wildling,4,1
429,10,Wildling,Free Folk,Beyond the Wall,Arrow,Baratheon of Dragonstone soldier,4,1
430,10,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Beyond the Wall,Spear,Wildling,4,1
431,10,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Beyond the Wall,Spear,Wildling,4,1
432,10,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Beyond the Wall,Sword,Wildling,4,1
433,10,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Beyond the Wall,Sword,Wildling,4,1
434,10,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Beyond the Wall,Sword,Wildling,4,1
435,10,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Beyond the Wall,Sword,Wildling,4,1
436,10,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Beyond the Wall,Sword,Wildling,4,1
437,10,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Beyond the Wall,Sword,Wildling,4,1
438,10,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Beyond the Wall,Sword,Wildling,4,1
439,10,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Beyond the Wall,Sword,Wildling,4,1
440,10,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Zalla,4,1
441,10,Meera Reed,House Stark,Beyond the Wall,Knife,Jojen Reed,4,1
444,10,Tyrion Lannister,House Lannister,King's Landing,Arrow,Tywin Lannister,4,1
445,1,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,White Rat,5,1
446,1,Jon Snow,Night's Watch,Castle Black,Arrow,Mance Rayder,5,1
447,2,Brienne of Tarth,House Tarth,Eastern Road,Sword,Baelish soldier,5,1
448,2,Brienne of Tarth,House Tarth,Eastern Road,Sword,Baelish soldier,5,1
449,2,Brienne of Tarth,House Tarth,Eastern Road,Sword,Baelish soldier,5,1
451,2,Arya Stark,House Stark,Braavos,Sword,Pigeon,5,1
452,2,Meereen slave,None,Meereen,Knife,Sons of the Harpy agent,5,1
453,2,Daario Naharis,House Targaryen,Meereen,Arakh,Meereen slave,5,1
458,3,Jon Snow,Night's Watch,Castle Black,Sword,Janos Slynt,5,1
459,3,Qyburn,House Lannister,King's Landing,Knife,Rat,5,1
460,4,Bronn,House Lannister,Dorne,Knife,Snake,5,1
461,4,Bronn,House Lannister,Dorne,Knife,Dorne Soldier,5,1
462,4,Bronn,House Lannister,Dorne,Sword,Dorne Soldier,5,1
463,4,Bronn,House Lannister,Dorne,Sword,Dorne Horse,5,1
464,4,Jaime Lannister,House Lannister,Dorne,Sword,Dorne Soldier,5,1
465,4,Obara Sand,House Martell,Dorne,Spear,Dorne Smuggler,5,1
466,4,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Second Sun Mercenary,5,1
467,4,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Second Sun Mercenary,5,1
468,4,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Second Sun Mercenary,5,1
469,4,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5,1
470,4,Unsullied Soldier,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
471,4,Unsullied Soldier,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
472,4,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5,1
473,4,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5,1
475,4,Grey Worm,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
476,4,Grey Worm,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
477,4,Grey Worm,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
478,4,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5,1
479,4,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5,1
480,4,Grey Worm,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
481,4,Grey Worm,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
483,4,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5,1
484,4,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5,1
485,4,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5,1
486,4,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5,1
487,4,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5,1
488,4,Grey Worm,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
489,4,Grey Worm,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
490,4,Barristan Selmy,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
491,4,Barristan Selmy,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
492,4,Barristan Selmy,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
493,4,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Sons of the Harpy agent,5,1
494,4,Barristan Selmy,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
495,4,Barristan Selmy,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
496,4,Barristan Selmy,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
497,4,Barristan Selmy,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
498,4,Grey Worm,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
499,4,Barristan Selmy,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
500,4,Barristan Selmy,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
501,4,Barristan Selmy,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
502,4,Barristan Selmy,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
503,4,Barristan Selmy,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
504,4,Barristan Selmy,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
505,4,Barristan Selmy,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
506,4,Grey Worm,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
507,4,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Barristan Selmy,5,1
508,5,Viserion,House Targaryen,Meereen,Dragonfire (Dragon),Great Master,5,1
509,5,Jorah Mormont,House Targaryen,Valyria,Sword,Stone Man,5,1
510,6,Arya Stark,House Stark,Braavos,Poison,Peasant,5,1
514,8,Wight,White Walkers,Hardhome,Axe,Wildling,5,1
515,8,Wight,White Walkers,Hardhome,Sword,Wildling,5,1
516,8,Wight,White Walkers,Hardhome,Sword,Wildling,5,1
517,8,Wight,White Walkers,Hardhome,Axe,Wildling,5,1
518,8,Wight,White Walkers,Hardhome,Sword,Wildling,5,1
519,8,Wight,White Walkers,Hardhome,Sword,Wildling,5,1
520,8,Wight,White Walkers,Hardhome,Sword,Wildling,5,1
522,8,Wight,White Walkers,Hardhome,Axe,Wildling,5,1
523,8,White Walker,White Walkers,Hardhome,Spear,Loboda,5,1
525,8,Wight,White Walkers,Hardhome,Sword,Wildling,5,1
526,8,Wight,White Walkers,Hardhome,Sword,Wildling,5,1
527,8,Wight,White Walkers,Hardhome,Sword,Wildling,5,1
528,8,Wight,White Walkers,Hardhome,Axe,Wildling,5,1
529,8,Wight,White Walkers,Hardhome,Axe,Wildling,5,1
530,8,White Walker,White Walkers,Hardhome,Sword,Wildling,5,1
531,8,Wight,White Walkers,Hardhome,Sword,Wildling,5,1
532,8,Wight,White Walkers,Hardhome,Axe,Wildling,5,1
533,8,Wight,White Walkers,Hardhome,Sword,Wildling,5,1
534,8,Wight,White Walkers,Hardhome,Sword,Wildling,5,1
535,8,Wight,White Walkers,Hardhome,Sword,Wildling,5,1
537,9,Peasant,None,Braavos,Poison,Peasant,5,1
539,9,Gladiator,None,Meereen,Sword,Gladiator,5,1
540,9,Gladiator,None,Meereen,Sword,Gladiator,5,1
541,9,Jorah Mormont,House Targaryen,Meereen,Knife,Gladiator,5,1
542,9,Gladiator,None,Meereen,Spear,Gladiator,5,1
543,9,Gladiator,None,Meereen,Spear,Gladiator,5,1
544,9,Jorah Mormont,House Targaryen,Meereen,Sword,Gladiator,5,1
545,9,Jorah Mormont,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
546,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Great Master,5,1
547,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Great Master,5,1
548,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Great Master,5,1
549,9,Daario Naharis,House Targaryen,Meereen,Arakh,Sons of the Harpy agent,5,1
550,9,Unsullied Soldier,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
551,9,Unsullied Soldier,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
552,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5,1
553,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5,1
554,9,Daario Naharis,House Targaryen,Meereen,Arakh,Sons of the Harpy agent,5,1
555,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Hizdahr zo Loraq,5,1
556,9,Daario Naharis,House Targaryen,Meereen,Arakh,Sons of the Harpy agent,5,1
557,9,Jorah Mormont,House Targaryen,Meereen,Knife,Sons of the Harpy agent,5,1
558,9,Tyrion Lannister,House Lannister,Meereen,Knife,Sons of the Harpy agent,5,1
559,9,Unsullied Soldier,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
560,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5,1
561,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Spear,Unsullied Soldier,5,1
562,9,Jorah Mormont,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
563,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5,1
564,9,Unsullied Soldier,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
565,9,Jorah Mormont,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
566,9,Unsullied Soldier,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
567,9,Unsullied Soldier,House Targaryen,Meereen,Spear,Sons of the Harpy agent,5,1
568,9,Jorah Mormont,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
569,9,Daario Naharis,House Targaryen,Meereen,Arakh,Sons of the Harpy agent,5,1
570,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Knife,Unsullied Soldier,5,1
571,9,Daario Naharis,House Targaryen,Meereen,Arakh,Sons of the Harpy agent,5,1
575,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5,1
576,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5,1
577,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5,1
578,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5,1
579,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5,1
580,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5,1
581,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5,1
582,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5,1
583,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5,1
584,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5,1
585,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5,1
586,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5,1
587,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5,1
588,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Sons of the Harpy agent,5,1
590,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Unsullied Soldier,5,1
591,9,Jorah Mormont,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
592,9,Daario Naharis,House Targaryen,Meereen,Arakh,Sons of the Harpy agent,5,1
593,9,Daario Naharis,House Targaryen,Meereen,Sword,Sons of the Harpy agent,5,1
595,10,Brienne of Tarth,House Tarth,Winterfell,Sword,Stannis Baratheon,5,1
596,10,Ramsay Bolton,House Bolton,Winterfell,Sword,Baratheon of Dragonstone soldier,5,1
597,10,Ramsay Bolton,House Bolton,Winterfell,Sword,Baratheon of Dragonstone soldier,5,1
599,10,Arya Stark,House Stark,Braavos,Knife,Meryn Trant,5,1
600,10,Jaqen H'ghar,Faceless Men,Braavos,Poison,Jaqen H'ghar,5,1
601,10,Ellaria Sand,House Martell,Dorne,Poison,Myrcella,5,1
602,10,Olly,Night's Watch,Castle Black,Knife,Jon Snow,5,1
603,1,Brienne of Tarth,House Tarth,Winterfell,Sword,Bolton soldier,6,1
604,1,Brienne of Tarth,House Tarth,Winterfell,Sword,Bolton soldier,6,1
605,1,Podrick Payne,House Tarth,Winterfell,Sword,Bolton soldier,6,1
606,1,Brienne of Tarth,House Tarth,Winterfell,Knife,Bolton soldier,6,1
607,1,Reek,House Bolton,Winterfell,Sword,Bolton soldier,6,1
608,1,Ellaria Sand,House Martell,Dorne,Knife,Doran Martell,6,1
609,1,Tyene Sand,House Martell,Dorne,Knife,Areo Hotah,6,1
610,1,Obara Sand,House Martell,King's Landing,Spear,Trystane Martell,6,1
611,2,Tormund,Free Folk,Castle Black,Sword,Night's Watch brother,6,1
614,2,Ramsay Bolton,House Bolton,Winterfell,Knife,Roose Bolton,6,1
618,3,Oswell Whent,House Targaryen,Dorne,Sword,Stark soldier,6,1
619,3,Ned Stark,House Stark,Dorne,Sword,Oswell Whent,6,1
620,3,Arthur Dayne,House Targaryen,Dorne,Sword,Stark soldier,6,1
621,3,Arthur Dayne,House Targaryen,Dorne,Sword,Stark soldier,6,1
622,3,Arthur Dayne,House Targaryen,Dorne,Sword,Stark soldier,6,1
623,3,Ned Stark,House Stark,Dorne,Sword,Arthur Dayne,6,1
629,4,Daario Naharis,House Targaryen,Vaes Dothrak,Knife,Dothraki man,6,1
630,4,Ramsay Bolton,House Bolton,Winterfell,Knife,Osha,6,1
646,5,Wight,White Walkers,Beyond the Wall,Axe,Child of the Forest,6,1
648,5,Wight,White Walkers,Beyond the Wall,Sword,Child of the Forest,6,1
649,5,White Walker,White Walkers,Beyond the Wall,Sword,Child of the Forest,6,1
650,5,Wight,White Walkers,Beyond the Wall,Sword,Summer,6,1
651,5,White Walker,White Walkers,Beyond the Wall,Sword,Three-eyed Raven,6,1
652,5,Wight,White Walkers,Beyond the Wall,Sword,Leaf,6,1
655,8,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Axe,Brotherhood Without Banners Member,6,1
656,8,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Axe,Brotherhood Without Banners Member,6,1
657,8,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Axe,Brotherhood Without Banners Member,6,1
658,8,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Axe,Brotherhood Without Banners Member,6,1
666,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6,1
667,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6,1
668,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6,1
669,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6,1
670,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6,1
671,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6,1
672,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6,1
673,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6,1
674,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6,1
675,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6,1
676,9,Sons of the Harpy agent,Sons of the Harpy,Meereen,Sword,Meereen citizen,6,1
677,9,Daario Naharis,House Targaryen,Meereen,Arakh,Sons of the Harpy agent,6,1
678,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6,1
679,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6,1
680,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6,1
681,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6,1
682,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6,1
683,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6,1
684,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6,1
685,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6,1
686,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6,1
687,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6,1
688,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6,1
689,9,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),The Masters Soldier,6,1
690,9,Grey Worm,House Targaryen,Meereen,Knife,Belicho Paenymion,6,1
691,9,Grey Worm,House Targaryen,Meereen,Knife,Razdal mo Eraz,6,1
692,9,Ramsay Bolton,House Bolton,Winterfell,Arrow,Rickon Stark,6,1
693,9,Stark Soldier,House Stark,Winterfell,Spear,Bolton soldier,6,1
694,9,Bolton soldier,House Bolton,Winterfell,Spear,Stark Soldier,6,1
695,9,Bolton soldier,House Bolton,Winterfell,Sword,Stark Soldier,6,1
696,9,Bolton soldier,House Bolton,Winterfell,Arrow,Bolton soldier,6,1
697,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
698,9,Bolton soldier,House Bolton,Winterfell,Arrow,Bolton soldier,6,1
699,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
700,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
701,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
702,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
703,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
704,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
705,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
706,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
707,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
708,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
709,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
710,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
711,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
712,9,Stark Soldier,House Stark,Winterfell,Spear,Bolton soldier,6,1
713,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
714,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
715,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
716,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
717,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
718,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
719,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
720,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
721,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
722,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
723,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
724,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
725,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
726,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
727,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
728,9,Stark Soldier,House Stark,Winterfell,Sword,Bolton soldier,6,1
729,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
730,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
731,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
732,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
733,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
734,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
735,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
736,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
737,9,Bolton soldier,House Bolton,Winterfell,Sword,Stark Soldier,6,1
738,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
739,9,Bolton soldier,House Bolton,Winterfell,Sword,Stark Soldier,6,1
740,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
741,9,Bolton soldier,House Bolton,Winterfell,Sword,Stark Soldier,6,1
742,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
743,9,Tormund,Free Folk,Winterfell,Sword,Bolton soldier,6,1
744,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6,1
745,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6,1
746,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6,1
747,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6,1
748,9,Smalljon Umber,House Umber,Winterfell,Sword,Stark Soldier,6,1
749,9,Umber Soldier,House Umber,Winterfell,Sword,Stark Soldier,6,1
750,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
752,9,Tormund,Free Folk,Winterfell,Sword,Bolton soldier,6,1
753,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
754,9,Smalljon Umber,House Umber,Winterfell,Sword,Stark Soldier,6,1
755,9,Smalljon Umber,House Umber,Winterfell,Sword,Stark Soldier,6,1
756,9,Bolton soldier,House Bolton,Winterfell,Sword,Stark Soldier,6,1
757,9,Stark Soldier,House Stark,Winterfell,Sword,Bolton soldier,6,1
758,9,Wildling,Free Folk,Winterfell,Sword,Bolton soldier,6,1
759,9,Smalljon Umber,House Umber,Winterfell,Sword,Stark Soldier,6,1
760,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
762,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6,1
763,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6,1
764,9,Bolton soldier,House Bolton,Winterfell,Sword,Wildling,6,1
765,9,Tormund,Free Folk,Winterfell,Sword,Bolton soldier,6,1
766,9,Umber Soldier,House Umber,Winterfell,Sword,Stark Soldier,6,1
767,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6,1
768,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6,1
769,9,Bolton soldier,House Bolton,Winterfell,Spear,Wildling,6,1
770,9,Smalljon Umber,House Umber,Winterfell,Sword,Stark Soldier,6,1
771,9,Jon Snow,House Stark,Winterfell,Sword,Bolton soldier,6,1
772,9,Tormund,Free Folk,Winterfell,Knife,Smalljon Umber,6,1
773,9,Knights of the Vale,House Arryn,Winterfell,Sword,Bolton soldier,6,1
774,9,Knights of the Vale,House Arryn,Winterfell,Sword,Bolton soldier,6,1
775,9,Knights of the Vale,House Arryn,Winterfell,Sword,Bolton soldier,6,1
776,9,Knights of the Vale,House Arryn,Winterfell,Sword,Bolton soldier,6,1
777,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
778,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6,1
779,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
780,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
781,9,Bolton soldier,House Bolton,Winterfell,Arrow,Stark Soldier,6,1
782,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6,1
783,9,Bolton soldier,House Bolton,Winterfell,Arrow,Wildling,6,1
784,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6,1
785,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6,1
786,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6,1
787,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6,1
788,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6,1
789,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6,1
790,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6,1
791,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6,1
792,9,Stark Soldier,House Stark,Winterfell,Arrow,Bolton soldier,6,1
794,9,Ramsay Bolton,House Bolton,Winterfell,Arrow,Wun Wun,6,1
796,10,Little Bird,House Lannister,King's Landing,Knife,Grand Maester Pycelle,6,1
797,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,Lancel Lannister,6,1
798,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,High Sparrow,6,1
799,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6,1
800,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6,1
801,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6,1
802,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6,1
803,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6,1
804,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6,1
805,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6,1
806,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6,1
807,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6,1
808,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6,1
809,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6,1
810,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6,1
811,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6,1
812,10,Cersei Lannister,House Lannister,King's Landing,Wildfire,King's Landing Noble,6,1
